#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-07-29T12:51:06 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-29T12:51:06	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=VII%2F202%2Fcatalog&-out.all=1&-out.max=50000&-oc.form=sexa	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7202
#Name: VII/202
#Title: Globular Clusters in the Milky Way (Harris, 1997)
#INFO	ivoid=ivo://cds.vizier/vii/202	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/vii/202	    IVOID of underlying data collection
#INFO	creator=Harris W.E.	    First author or institution
#INFO	cites=bibcode:1996AJ....112.1487H	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=1996	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/202	    Dataset landing page
#INFO	publication_date=2015-08-06	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	VII_202_catalog:
#Name: VII/202/catalog
#Title: The catalogue of Globular Clusters
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	ID	(A9)	Cluster identification number	[ucd=meta.id;phys.atmol.number]
#Column	Name	(a11)	Other commonly used cluster name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A10)	Right Ascension J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination J2000	[ucd=pos.eq.dec;meta.main]
#Column	GLON	(F6.2)	Galactic longitude	[ucd=pos.galactic.lon]
#Column	GLAT	(F6.2)	Galactic latitude	[ucd=pos.galactic.lat]
#Column	Rsun	(F5.1)	? Distance from Sun	[ucd=pos.distance;pos.heliocentric]
#Column	Rgc	(F5.1)	? Distance from Galactic center, assuming R(Sun)=8.0 kpc	[ucd=pos.distance;pos.galactocentric]
#Column	X	(F5.1)	? X-component (1)	[ucd=pos]
#Column	Y	(F5.1)	? Y-component (1)	[ucd=pos]
#Column	Z	(F5.1)	? Z-component (1)	[ucd=pos]
#Column	E(B-V)	(F5.2)	? Foreground reddening	[ucd=phot.color.excess]
#Column	V(HB)	(F5.2)	? V magnitude of the horizontal branch (or RR Lyraes)	[ucd=phot.mag;em.opt.V]
#Column	(m-M)V	(F5.2)	? Apparent visual distance modulus	[ucd=phot.mag.distMod]
#Column	Vt	(F5.2)	? Integrated V magnitude of the cluster	[ucd=phot.mag;em.opt]
#Column	MVt	(F6.2)	? Absolute visual magnitude (cluster luminosity)	[ucd=phys.magAbs;em.opt.V]
#Column	(U-B)t	(F5.2)	? Integrated color index (2)	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	(B-V)t	(F5.2)	? Integrated color index (2)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	(V-R)t	(F5.2)	? Integrated color index (2)	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	(V-I)t	(F5.2)	? Integrated color index (2)	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	S(RR)	(F5.1)	? Specific frequency of RR Lyr (see Suntzeff et al., 1991ApJ...367..528S)	[ucd=em.freq]
#Column	HBR	(F5.2)	? Horizontal-branch ratio = (B-R)/(B+V+R) (see Lee, 1990ApJ...363..159L)	[ucd=stat.param]
#Column	HBt	(A3)	[0-7/: ] Dickens horizontal-branch morphological type (see Dickens, 1972MNRAS.157..281D)	[ucd=src.morph.type]
#Column	[Fe/H]	(F5.2)	? Metallicity in log (base 10) scale	[ucd=instr.scale]
#Column	SpT	(A4)	Integrated spectral type	[ucd=src.spType]
#Column	Vr	(F6.1)	? Heliocentric radial velocity	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	e_Vr	(F4.1)	? Observational uncertainty in Vr	[ucd=stat.error]
#Column	Vlsr	(F6.1)	? Radial velocity relative to Solar local standard of rest	[ucd=spect.dopplerVeloc;pos.lsr]
#Column	c	(F5.2)	? Central concentration, c = log(Rt/Rc)	[ucd=em.wl.central]
#Column	n_c	(A2)	[c: ] 'c' denotes a core-collapsed cluster	[ucd=meta.note]
#Column	Rc	(F5.2)	? Core radius	[ucd=phys.angSize]
#Column	Rh	(F5.2)	? Half-mass radius	[ucd=phys.angSize]
#Column	u_Rh	(A1)	Uncertainty flag (:) on Rh	[ucd=meta.code.error]
#Column	log(Tc)	(F5.2)	? Log (base 10) of core relaxation time	[ucd=time.relax]
#Column	log(Th)	(F5.2)	? Log (base 10) of relaxation time at the half-mass radius	[ucd=time.relax]
#Column	muV	(F5.2)	? Central surface brightness in V band	[ucd=phot.mag.sb;em.opt.V]
#Column	log(rhoc)	(F5.2)	? Logarithm of central luminosity density (Solar luminosities per cubic parsec)	[ucd=phys.luminosity]
recno	ID	Name	RAJ2000	DEJ2000	GLON	GLAT	Rsun	Rgc	X	Y	Z	E(B-V)	V(HB)	(m-M)V	Vt	MVt	(U-B)t	(B-V)t	(V-R)t	(V-I)t	S(RR)	HBR	HBt	[Fe/H]	SpT	Vr	e_Vr	Vlsr	c	n_c	Rc	Rh	u_Rh	log(Tc)	log(Th)	muV	log(rhoc)
     113	NGC 6584 	           	18 18 37.7	-52 12 54	342.14	-16.41	 13.0	  6.5	 11.8	 -3.8	 -3.7	 0.11	16.53	15.90	 8.27	 -7.63	 0.17	 0.76	 0.50	 1.04	 38.0	-0.15	4  	-1.49	F6  	 222.9	15.0	 226.0	 1.20	  	 0.59	 0.80	 	 8.79	 8.53	17.79	 2.95
     114	NGC 6624 	           	18 23 40.5	-30 21 40	  2.79	 -7.91	  7.9	  1.2	  7.8	  0.4	 -1.1	 0.27	16.11	15.32	 7.87	 -7.45	 0.60	 1.11	 0.67	 1.42	  1.0	-1.00	7  	-0.42	G4/5	  53.9	 0.6	  63.9	 2.50	c 	 0.06	 0.82	 	 6.71	 8.50	15.42	 5.24
     115	NGC 6626 	M 28       	18 24 32.9	-24 52 12	  7.80	 -5.58	  5.7	  2.5	  5.7	  0.8	 -0.6	 0.41	15.70	15.07	 6.79	 -8.28	 0.46	 1.08	 0.69	 1.41	  6.4	 0.90	2  	-1.45	F8  	  17.0	 1.0	  28.5	 1.67	  	 0.24	 1.56	 	 7.73	 8.78	16.08	 4.73
     116	NGC 6638 	           	18 30 56.2	-25 29 47	  7.90	 -7.15	  8.2	  1.5	  8.0	  1.1	 -1.0	 0.40	16.50	15.80	 9.02	 -6.78	 0.56	 1.15	 0.72	 1.50	 38.9	-0.30	2/6	-0.99	G0  	  18.1	 3.9	  29.4	 1.40	  	 0.26	 0.66	 	 8.00	 8.02	17.27	 4.06
     117	NGC 6637 	M 69       	18 31 23.2	-32 20 53	  1.72	-10.27	  8.2	  1.5	  8.1	  0.2	 -1.5	 0.17	15.85	15.11	 7.64	 -7.47	 0.48	 1.01	 0.62	 1.28	  0.0	-1.00	7  	-0.71	G2/3	  39.9	 2.8	  49.3	 1.39	  	 0.34	 0.83	 	 8.40	 8.69	16.83	 3.83
     118	NGC 6642 	           	18 31 54.3	-23 28 35	  9.81	 -6.44	  7.6	  1.6	  7.5	  1.3	 -0.9	 0.40	16.30	15.65	 9.13	 -6.52	 0.57	 1.11	 0.72	 1.45	     	     	   	-1.35	F8  	 -57.2	 5.4	 -45.3	 1.99	  	 0.10	 0.73	 	 7.00	 8.25	16.68	 4.71
     119	NGC 6652 	           	18 35 45.7	-32 59 25	  1.53	-11.38	  9.4	  2.2	  9.2	  0.2	 -1.9	 0.09	15.85	15.14	 8.62	 -6.52	 0.37	 0.94	 0.52	 1.08	  0.0	-1.00	7  	-0.96	G3  	-111.7	 5.8	-102.6	 1.80	  	 0.07	 0.65	 	 7.19	 8.50	16.31	 4.55
     120	NGC 6656 	M 22       	18 36 24.2	-23 54 12	  9.89	 -7.55	  3.2	  5.0	  3.1	  0.5	 -0.4	 0.34	14.15	13.55	 5.10	 -8.45	 0.28	 0.98	 0.68	 1.42	  7.5	 0.91	2  	-1.64	F5  	-148.9	 0.4	-137.2	 1.31	  	 1.42	 3.26	 	 8.62	 8.86	17.32	 3.65
     121	Pal 8    	           	18 41 29.9	-19 49 33	 14.10	 -6.80	 12.4	  5.2	 12.0	  3.0	 -1.5	 0.33	17.27	16.49	11.02	 -5.47	 0.72	 1.22	     	     	     	-1.00	7  	-0.48	    	 -43.0	15.0	 -30.3	 1.53	  	 0.40	 0.57	 	 9.21	 9.02	19.83	 2.58
     122	NGC 6681 	M 70       	18 43 12.7	-32 17 31	  2.85	-12.51	  8.7	  2.0	  8.5	  0.4	 -1.9	 0.07	15.55	14.93	 7.87	 -7.06	 0.12	 0.72	 0.47	 0.99	  3.0	 0.96	1  	-1.51	F5  	 218.6	 1.2	 227.9	 2.50	c 	 0.03	 0.93	 	 5.82	 8.40	15.28	 5.42
     123	NGC 6712 	           	18 53 04.3	-08 42 22	 25.35	 -4.32	  6.7	  3.5	  6.0	  2.9	 -0.5	 0.46	16.25	15.55	 8.10	 -7.45	 0.53	 1.17	 0.72	 1.57	 12.5	-0.64	5  	-1.01	F9  	-107.7	 0.6	 -92.6	 0.90	  	 0.94	 1.37	 	 8.89	 8.64	18.65	 3.17
     124	NGC 6715 	M 54       	18 55 03.3	-30 28 42	  5.61	-14.09	 26.2	 18.6	 25.3	  2.5	 -6.4	 0.15	18.17	17.56	 7.60	 -9.96	 0.24	 0.85	 0.53	 1.10	  7.5	 0.87	3  	-1.59	F7/8	 141.9	 0.5	 151.6	 1.84	  	 0.11	 0.49	 	 8.30	 9.03	14.82	 4.59
     125	NGC 6717 	Pal 9      	18 55 06.2	-22 42 03	 12.88	-10.90	  7.1	  2.4	  6.8	  1.6	 -1.3	 0.21	15.56	14.90	 9.28	 -5.62	 0.35	 1.00	 0.65	 1.37	  5.6	 0.98	1  	-1.29	F6  	  22.8	 3.4	  34.6	 2.07	c:	 0.08	 0.68	 	 6.61	 8.14	16.48	 4.68
     126	NGC 6723 	           	18 59 33.2	-36 37 54	  0.07	-17.30	  8.6	  2.6	  8.2	  0.0	 -2.5	 0.05	15.50	14.82	 7.01	 -7.81	 0.21	 0.75	 0.50	 1.05	 21.8	-0.08	1/6	-1.12	F9  	 -94.5	 3.6	 -86.7	 1.05	  	 0.94	 1.61	 	 9.02	 8.94	17.92	 2.82
     127	NGC 6749 	           	19 05 15.3	+01 54 03	 36.20	 -2.20	  7.7	  4.9	  6.2	  4.6	 -0.3	 1.50	19.70	19.09	12.44	 -6.65	 0.80	 2.14	     	     	     	 1.00	1  	-1.60	    	      	    	      	 0.83	  	 0.77	 1.10	 	 8.58	     	21.54	 3.34
     128	NGC 6752 	           	19 10 51.8	-59 58 55	336.50	-25.63	  3.9	  5.3	  3.2	 -1.4	 -1.7	 0.04	13.70	13.08	 5.40	 -7.68	 0.07	 0.66	 0.43	 0.93	  0.0	 1.00	0  	-1.55	F4/5	 -24.5	 1.9	 -24.4	 2.50	c 	 0.17	 2.34	 	 6.95	 8.65	15.20	 4.92
     129	NGC 6760 	           	19 11 12.1	+01 01 50	 36.11	 -3.92	  7.3	  4.8	  5.9	  4.3	 -0.5	 0.78	17.50	16.73	 8.88	 -7.85	 1.09	 1.66	 1.01	 2.12	  0.0	-1.00	7  	-0.52	G5  	 -27.5	 6.3	 -10.9	 1.59	  	 0.33	 2.18	 	 7.76	 8.80	18.79	 3.86
     130	NGC 6779 	M 56       	19 16 35.5	+30 11 05	 62.66	  8.34	  9.9	  9.5	  4.5	  8.7	  1.4	 0.20	16.16	15.60	 8.27	 -7.33	 0.15	 0.86	     	 1.16	  2.3	 0.98	1  	-1.94	F5  	-135.7	 0.8	-116.9	 1.37	  	 0.37	 1.16	 	 8.27	 8.70	18.06	 3.27
     131	Terzan 7 	           	19 17 43.7	-34 39 27	  3.39	-20.07	 23.0	 15.8	 21.6	  1.3	 -7.9	 0.06	17.76	17.00	12.00	 -5.00	     	     	     	     	  0.0	-1.00	7  	-0.58	    	 166.0	 4.0	 174.1	 1.08	  	 0.61	 0.97	 	     	     	20.65	 1.50
     132	Pal 10   	           	19 18 02.1	+18 34 18	 52.44	  2.72	  5.8	  6.4	  3.5	  4.6	  0.3	 1.66	19.80	18.97	13.22	 -5.74	     	     	     	     	     	-1.00	7  	-0.10	    	      	    	      	 0.58	  	 0.81	 0.99	 	     	     	22.03	 3.51
     133	Arp 2    	           	19 28 44.1	-30 21 14	  8.55	-20.78	 27.6	 20.4	 25.5	  3.8	 -9.8	 0.11	18.13	17.54	12.30	 -5.24	     	 0.86	     	     	 31.9	 0.86	2  	-1.76	    	 115.0	10.0	 124.1	 0.90	  	 1.59	 1.91	 	 9.80	 9.46	24.21	-0.34
     134	NGC 6809 	M 55       	19 39 59.4	-30 57 44	  8.80	-23.27	  5.3	  3.9	  4.8	  0.7	 -2.1	 0.07	14.40	13.82	 6.32	 -7.50	 0.11	 0.72	 0.48	 1.00	 10.0	 0.87	1  	-1.81	F4  	 174.8	 0.4	 183.4	 0.76	  	 2.83	 2.89	 	 9.40	 8.89	19.13	 2.15
     135	Terzan 8 	           	19 41 45.0	-34 00 01	  5.76	-24.56	 25.4	 18.5	 23.0	  2.3	-10.6	 0.14	18.03	17.46	12.40	 -5.06	     	     	     	     	     	     	1  	-1.87	    	 130.0	 8.0	 137.7	 0.60	  	 1.00	 1.00	 	     	     	22.82	 0.57
     136	Pal 11   	           	19 45 14.4	-08 00 26	 31.81	-15.58	 12.6	  7.6	 10.3	  6.4	 -3.4	 0.34	17.35	16.56	 9.80	 -6.76	     	 1.27	     	     	  0.0	     	7  	-0.39	    	 -68.0	10.0	 -53.9	 0.69	  	 2.00	 1.49	 	10.20	 9.06	20.33	 1.79
     137	NGC 6838 	M 71       	19 53 46.1	+18 46 42	 56.74	 -4.56	  3.8	  6.7	  2.1	  3.2	 -0.3	 0.25	14.44	13.70	 8.19	 -5.51	 0.63	 1.09	 0.63	 1.36	  0.0	-1.00	7  	-0.73	G1  	 -22.9	 0.2	  -5.5	 1.15	  	 0.63	 1.65	 	 7.62	 8.10	19.22	 3.06
     138	NGC 6864 	M 75       	20 06 04.8	-21 55 17	 20.30	-25.75	 18.4	 12.4	 15.5	  5.7	 -8.0	 0.16	17.47	16.82	 8.52	 -8.30	 0.28	 0.87	 0.55	 1.16	  5.8	-0.42	2/7	-1.32	F9  	-189.3	 3.6	-179.1	 1.88	  	 0.10	 0.47	 	 7.91	 8.72	15.55	 4.52
     139	NGC 6934 	           	20 34 11.6	+07 24 15	 52.10	-18.89	 15.2	 12.4	  8.8	 11.3	 -4.9	 0.12	16.90	16.28	 8.83	 -7.45	 0.20	 0.77	 0.49	 0.99	 52.3	 0.25	4  	-1.54	F7/8	-411.4	 1.6	-396.7	 1.53	  	 0.25	 0.60	 	 8.35	 8.64	17.26	 3.47
     140	NGC 6981 	M 72       	20 53 27.9	-12 32 13	 35.16	-32.68	 16.8	 12.7	 11.6	  8.1	 -9.1	 0.05	16.90	16.28	 9.27	 -7.01	 0.14	 0.72	 0.45	 0.94	 59.6	 0.14	4  	-1.54	F7  	-345.1	 3.7	-334.7	 1.23	  	 0.54	 0.88	 	 9.03	 8.93	18.90	 2.36
     141	NGC 7006 	           	21 01 29.5	+16 11 15	 63.77	-19.41	 40.7	 38.0	 17.0	 34.4	-13.5	 0.05	18.80	18.20	10.56	 -7.64	 0.06	 0.75	     	 0.98	 59.7	-0.28	5  	-1.68	F6  	-377.6	 5.9	-363.2	 1.42	  	 0.24	 0.38	 	 9.07	 8.97	18.50	 2.47
     142	NGC 7078 	M 15       	21 29 58.3	+12 10 01	 65.01	-27.31	 10.2	 10.3	  3.8	  8.2	 -4.7	 0.09	15.83	15.31	 6.20	 -9.11	 0.06	 0.68	     	 0.85	 25.4	 0.67	0/3	-2.22	F3/4	-107.5	 0.3	 -95.0	 2.50	c 	 0.07	 1.06	 	 7.10	 9.01	14.21	 5.37
     143	NGC 7089 	M 2        	21 33 29.3	-00 49 23	 53.38	-35.78	 11.4	 10.3	  5.5	  7.4	 -6.7	 0.05	16.05	15.44	 6.47	 -8.97	 0.09	 0.66	 0.46	 0.92	  4.4	 0.96	1  	-1.62	F4  	  -5.3	 2.0	   5.1	 1.80	  	 0.34	 0.93	 	 8.65	 9.05	15.92	 3.89
     144	NGC 7099 	M 30       	21 40 22.0	-23 10 45	 27.18	-46.83	  7.9	  7.0	  4.8	  2.5	 -5.7	 0.03	15.10	14.57	 7.19	 -7.38	 0.03	 0.60	 0.41	 0.86	 11.2	 0.89	1  	-2.12	F3  	-184.2	 1.0	-178.6	 2.50	c 	 0.06	 1.15	 	 6.34	 8.55	15.28	 5.05
     145	Pal 12   	           	21 46 38.8	-21 15 03	 30.51	-47.68	 18.7	 15.5	 10.8	  6.4	-13.8	 0.02	17.13	16.42	11.99	 -4.43	 0.34	 1.07	     	     	  0.0	-1.00	7  	-0.93	    	  27.8	 1.5	  33.5	 1.94	  	 0.20	 1.28	 	 9.34	     	20.59	 2.00
     146	Pal 13   	           	23 06 44.4	+12 46 19	 87.10	-42.70	 26.3	 27.2	  1.0	 19.3	-17.9	 0.05	17.86	17.26	13.80	 -3.46	-0.11	 0.72	     	     	165.6	-0.20	5  	-1.65	    	 -28.0	37.0	 -21.7	 0.66	  	 0.48	 0.46	 	 8.59	     	23.36	 0.53
     147	NGC 7492 	           	23 08 26.7	-15 36 41	 53.39	-63.48	 25.2	 24.3	  6.7	  9.0	-22.5	 0.00	17.63	17.01	11.29	 -5.72	 0.23	 0.42	     	     	 15.5	 0.81	1  	-1.51	    	-207.6	 4.3	-206.1	 1.00	  	 0.83	 1.22	 	 9.59	 9.11	21.33	 0.98

